user_id,first_name,last_name,email,phone,preferred_city,preferred_state,budget_min,budget_max,preferred_property_type,preferred_beds_min,signup_date,is_active,user_segment
1726694b-af94-4f6d-883d-93bab7313c50,Angel,Hill,donaldgarcia@example.net,+1-219-560-0133,Boston,MA,394877,804384,Condo,2,2025-08-14,True,first_time_buyer
134f1c09-c859-43c0-8954-1b2eb3ba6d53,Jacqueline,Barnes,zlawrence@example.org,001-626-254-2351x16155,Seattle,WA,508603,780429,Condo,2,2025-10-09,True,first_time_buyer
1b04cdfd-38f6-48fa-98e6-23f06f9a9933,Amanda,Dudley,smiller@example.net,+1-659-931-0341x316,San Francisco,CA,725616,1567436,Multi-Family,2,2025-10-19,True,upgrader
2b174b28-6bb1-4ad1-ba79-577a401882f8,Michael,Wood,elizabethmiles@example.net,+1-219-528-3276x4835,Austin,TX,372438,530923,Multi-Family,3,2025-08-11,True,investor
8ede6669-06a7-4cd0-9a3a-49a5bcf09fe0,Linda,Morales,clarksherri@example.net,837-767-2423x88496,Nashville,TN,252265,515985,Townhouse,3,2025-12-25,True,first_time_buyer
aa78042c-bc19-4692-8eef-b57537bd7364,Whitney,Hicks,camposmichelle@example.org,+1-326-691-6697x8480,Portland,OR,380434,793278,Multi-Family,1,2024-10-11,True,upgrader
b3eeed50-d6d1-4bd2-86fc-966325c8977b,Matthew,Carter,shawnmckay@example.net,282-781-4893x252,Seattle,WA,460380,794344,Condo,3,2025-11-16,False,investor
adeec36e-4cb5-457d-9c43-dc8922bd752a,Daniel,Cox,john39@example.org,671-882-2782,Boston,MA,464124,862358,Townhouse,2,2025-04-26,True,investor
89182361-b996-4c7b-b0a7-39e9c5eff03a,Sarah,Campos,jenniferross@example.net,+1-557-587-1331x5098,Miami,FL,405273,720886,Single Family,2,2026-04-08,True,investor
14258640-91ec-4107-b43d-3cbb56ccd3fc,Jean,Brown,whiteheadmichele@example.org,334.373.8299x73763,Chicago,IL,258537,432240,Condo,3,2024-05-09,True,first_time_buyer
668ea9ca-83c3-48f7-bb05-2cb58c66e34b,Michael,Jenkins,nuneztracey@example.org,4658133387,Denver,CO,465597,826387,Multi-Family,3,2025-08-28,True,upgrader
d2dc730d-3905-4ea5-9bcd-8bbf7996fb4c,Steven,Baxter,ramosmichelle@example.net,908-501-3267,Denver,CO,438147,713798,Multi-Family,2,2024-09-15,True,investor
2bcab35c-c055-493a-a3ff-c1bc86845fbe,Rachel,Martin,gallowayjoseph@example.com,268-272-3430x9805,San Francisco,CA,837862,1620857,Multi-Family,4,2026-01-26,True,investor
f6a3b1bb-b3a4-447e-9dae-af960591c6c4,Wesley,Farrell,brianromero@example.org,291-336-1939,San Francisco,CA,822860,1625680,Single Family,2,2025-07-05,True,downsizer
09e4e0eb-8e03-4db4-8961-62898422e167,Brandy,Mills,james53@example.com,(524)675-1079x9118,Seattle,WA,433340,903566,Multi-Family,3,2025-03-06,False,first_time_buyer
2abe658f-4f5c-4722-82ff-8f39c099802f,Michael,Jones,mikemoore@example.net,001-449-680-8412x411,Boston,MA,522933,889515,Townhouse,3,2024-08-08,True,downsizer
e7da5755-78eb-4fe1-a891-0ea0faaef385,Jason,Cooper,william40@example.org,+1-264-300-5242x7868,Chicago,IL,257640,551917,Townhouse,2,2024-11-25,True,first_time_buyer
d50c3a2d-7ce8-4914-9152-a4c47571c058,Nicole,Mckee,davenportbrandi@example.org,(420)545-0533x15869,Miami,FL,426250,676915,Condo,2,2024-06-28,True,investor
810ad76a-118c-4b31-a478-2d46554e5ca6,Theresa,Cochran,vjohnson@example.com,(534)221-6073x37543,San Francisco,CA,974654,1717338,Single Family,3,2026-01-26,True,first_time_buyer
585affe0-9364-44f4-9c28-5efc2f8bacac,Raymond,Ramirez,rasmussenjoshua@example.net,768.750.1429x40196,Nashville,TN,345446,606333,Townhouse,2,2025-08-29,True,first_time_buyer
1e0e845e-ecc4-45de-9447-7e5b2a1665f6,Tracey,Wilson,jonathanfletcher@example.org,783.856.1595x14846,Boston,MA,532721,980207,Condo,2,2025-03-19,True,investor
80d944a0-68ad-47b9-b3a5-bd215d09d648,Angela,Lee,lbyrd@example.net,001-746-980-4436,Miami,FL,379151,701648,Condo,2,2025-09-25,True,downsizer
29422e6e-84c9-49a7-b5ea-259a0902f229,Emma,Dixon,donnacampbell@example.net,+1-395-913-4332x0037,Nashville,TN,292572,543515,Single Family,2,2025-03-22,True,upgrader
27eafef4-7f96-47c0-81c4-a725f2f15127,Crystal,Lee,psnyder@example.org,+1-401-963-2870x8317,Austin,TX,349421,546775,Condo,1,2025-03-02,True,first_time_buyer
058bde43-e430-4579-b91e-afafac7d0c9f,Vanessa,Larson,usalazar@example.net,(387)627-7434x87347,Denver,CO,341121,613638,Townhouse,1,2025-09-03,True,upgrader
121f287d-5e73-429b-be5c-3d6f442ebfc1,Matthew,Orozco,taylorjesse@example.net,(231)566-5876,Portland,OR,332135,583077,Multi-Family,2,2024-10-22,True,downsizer
f4a34f32-03c2-4190-abcf-7fde55aa5859,Perry,Carrillo,gateskathy@example.com,805.946.6889x3734,Denver,CO,345563,786220,Townhouse,4,2026-01-02,True,first_time_buyer
4592949c-b4f7-4534-9e48-3a7fb602a78d,Matthew,Shelton,dramsey@example.org,+1-280-669-9016x272,Boston,MA,401819,951669,Single Family,2,2024-05-25,True,downsizer
94325989-8433-4349-93c4-7bb63ff7203e,Jason,Murphy,aramirez@example.com,270-580-5310,Chicago,IL,254297,433745,Condo,1,2025-02-05,True,first_time_buyer
711bff43-149f-4313-8d4a-d070b96285f4,Andrew,Hernandez,thomaswilson@example.org,645.829.9124x190,Austin,TX,358039,616632,Single Family,1,2024-09-26,False,investor
c2316020-fb67-4008-bb28-4aa3dc3fc75d,Jennifer,Jones,curtisbarton@example.net,+1-819-905-8651x850,Chicago,IL,252673,469237,Multi-Family,1,2025-02-17,True,first_time_buyer
980a074e-94d4-4c2d-9a45-66c9a44b7aad,Susan,Reid,bzimmerman@example.org,001-684-998-7769x4531,New York,NY,577626,1268230,Multi-Family,3,2024-07-20,True,downsizer
eac1d25e-3ef2-451c-b1ce-0e383b88856f,Steven,Bishop,frogers@example.com,(273)554-5494,Chicago,IL,229939,423097,Single Family,1,2024-10-29,True,first_time_buyer
573bd3dd-446e-4767-a8c2-80fdebe3c001,Jennifer,Freeman,hannahbrewer@example.com,701.843.6349x578,Austin,TX,348863,608141,Condo,1,2024-07-05,False,first_time_buyer
186c9f91-3ebf-4322-a164-5238e4c34d6b,Andrea,Bell,qnelson@example.org,635-618-2337,Chicago,IL,217194,396893,Condo,4,2026-05-02,True,investor
